CO_IES;CO_CATEGAD;CO_ORGACAD;CURSO;CO_MODALIDADE;CO_UF_CURSO;REGIAO;NU_IDADE;TP_SEXO;ANO_FIM_EM;ANO_IN_GRAD;CO_TURNO_GRADUACAO;NT_GER;NT_FG;NT_OBJ_FG;NT_DIS_FG;NT_FG_D1;NT_FG_D1_PT;NT_FG_D1_CT;NT_FG_D2;NT_FG_D2_PT;NT_FG_D2_CT;NT_CE;NT_OBJ_CE;NT_DIS_CE;NT_CE_D1;NT_CE_D2;NT_CE_D3;CO_RS_I1;CO_RS_I2;CO_RS_I3;CO_RS_I4;CO_RS_I5;CO_RS_I6;CO_RS_I7;CO_RS_I8;CO_RS_I9;QE_I01;QE_I02;QE_I03;QE_I04;QE_I05;QE_I06;QE_I07;QE_I08;QE_I09;QE_I10;QE_I11;QE_I12;QE_I13;QE_I14;QE_I15;QE_I16;QE_I17;QE_I18;QE_I19;QE_I20;QE_I21;QE_I22;QE_I23;QE_I24;QE_I25;QE_I26;QE_I27;QE_I28;QE_I29;QE_I30;QE_I31;QE_I32;QE_I33;QE_I34;QE_I35;QE_I36;QE_I37;QE_I38;QE_I39;QE_I40;QE_I41;QE_I42;QE_I43;QE_I44;QE_I45;QE_I46;QE_I47;QE_I48;QE_I49;QE_I50;QE_I51;QE_I52;QE_I53;QE_I54;QE_I55;QE_I56;QE_I57;QE_I58;QE_I59;QE_I60;QE_I61;QE_I62;QE_I63;QE_I64;QE_I65;QE_I66;QE_I67;QE_I68
1;1;10028;Fisica;1;MT;CO;23;F;2011.0;2012.0;1.0;12.1;14.0;0.0;35.0;0.0;0.0;0.0;70.0;50.0;75.0;11.5;10.0;20.0;0.0;0.0;60.0;D;.;A;.;.;.;D;D;.;A;D;A;A;D;B;D;B;A;A;A;E;B;A;D;51.0;A;A;C;G;B;C;E;A;H;A;5.0;5.0;5.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;3.0;3.0;5.0;4.0;6.0;6.0;6.0;6.0;6.0;6.0;5.0;4.0;5.0;5.0;6.0;6.0;6.0;6.0;5.0;6.0;4.0;5.0;6.0;6.0;5.0;4.0;4.0;2.0;2.0;6.0;6.0;4.0
1;1;10028;Fisica;1;MT;CO;25;F;2009.0;2012.0;1.0;25.1;45.7;37.5;58.0;66.0;70.0;65.0;50.0;50.0;50.0;18.2;20.0;8.3;0.0;15.0;10.0;D;E;B;C;C;D;D;*;.;A;D;A;B;B;B;D;A;A;A;A;E;B;A;C;51.0;A;A;B;C;B;C;E;C;H;A;4.0;3.0;5.0;2.0;4.0;5.0;6.0;3.0;6.0;5.0;4.0;3.0;2.0;2.0;4.0;6.0;6.0;6.0;4.0;6.0;4.0;4.0;2.0;2.0;5.0;1.0;1.0;5.0;4.0;1.0;2.0;4.0;5.0;5.0;4.0;3.0;3.0;2.0;2.0;2.0;2.0;3.0
1;1;10028;Fisica;1;MT;CO;24;F;2010.0;2013.0;1.0;47.3;61.6;50.0;79.0;89.0;85.0;90.0;69.0;65.0;70.0;42.5;40.0;56.7;50.0;80.0;40.0;D;D;A;C;D;A;D;C;D;A;C;A;D;D;A;C;A;A;A;A;D;F;A;A;31.0;B;A;A;I;B;A;D;E;G;H;5.0;5.0;3.0;6.0;6.0;6.0;5.0;6.0;1.0;5.0;6.0;6.0;3.0;1.0;6.0;6.0;6.0;6.0;6.0;6.0;5.0;1.0;1.0;6.0;3.0;1.0;1.0;5.0;5.0;6.0;5.0;1.0;2.0;4.0;1.0;5.0;2.0;4.0;1.0;5.0;6.0;6.0
2;1;10028;Fisica;1;DF;CO;38;M;1996.0;2017.0;4.0;24.4;30.5;37.5;20.0;40.0;80.0;30.0;0.0;0.0;0.0;22.3;25.0;6.7;20.0;0.0;0.0;A;B;A;C;A;D;D;B;B;B;D;A;C;A;C;C;C;E;E;A;A;A;A;B;53.0;A;A;A;B;A;B;B;D;H;I;6.0;6.0;6.0;8.0;8.0;6.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0;6.0;6.0;6.0;6.0;6.0;7.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;7.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;3.0;6.0;6.0;6.0;6.0;6.0;3.0;4.0
2;1;10028;Fisica;1;DF;CO;53;M;1982.0;2015.0;4.0;64.9;82.7;87.5;75.5;55.0;75.0;50.0;96.0;80.0;100.0;59.0;60.0;53.3;60.0;70.0;30.0;B;C;C;B;B;C;E;D;D;B;A;A;D;D;C;D;F;F;D;A;A;A;A;A;33.0;A;B;C;K;B;B;C;E;E;C;3.0;4.0;2.0;2.0;2.0;3.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;2.0;4.0;2.0;3.0;3.0;3.0;3.0;2.0;2.0;2.0;8.0;8.0;2.0;2.0;4.0;3.0;4.0;4.0;3.0;4.0;3.0;3.0;4.0;3.0;5.0;4.0;3.0;4.0;3.0
2;1;10028;Fisica;1;DF;CO;22;M;2012.0;2013.0;4.0;81.4;75.8;75.0;77.0;79.0;75.0;80.0;75.0;75.0;75.0;83.2;85.0;73.3;60.0;100.0;60.0;B;B;C;B;B;B;E;E;D;A;A;A;E;E;B;C;C;E;D;A;A;E;B;A;53.0;B;A;A;A;A;B;C;E;E;A;8.0;5.0;3.0;1.0;2.0;8.0;6.0;8.0;3.0;6.0;3.0;5.0;6.0;4.0;5.0;6.0;5.0;5.0;4.0;6.0;3.0;3.0;3.0;5.0;8.0;5.0;5.0;5.0;5.0;6.0;7.0;1.0;2.0;2.0;4.0;4.0;3.0;5.0;1.0;8.0;1.0;4.0
2;1;10028;Fisica;1;DF;CO;27;M;2009.0;2013.0;4.0;9.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.8;15.0;0.0;0.0;0.0;0.0;.;.;.;.;.;.;D;D;A;A;F;A;E;E;B;C;E;C;B;A;A;F;A;A;53.0;B;A;B;C;A;E;E;E;A;A;7.0;6.0;7.0;7.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;1.0;6.0;4.0;5.0;5.0;6.0;6.0;5.0;6.0;6.0;8.0;6.0;1.0;6.0;6.0;6.0;6.0;1.0;6.0;6.0;1.0;4.0;4.0;3.0;1.0;6.0;6.0;6.0
2;1;10028;Fisica;1;DF;CO;20;M;2014.0;2014.0;4.0;67.4;52.5;87.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;72.3;85.0;0.0;0.0;0.0;0.0;C;B;C;D;B;D;D;E;B;A;D;A;F;D;B;C;F;D;B;A;A;B;A;A;53.0;A;A;B;H;A;B;C;C;E;A;6.0;5.0;1.0;4.0;6.0;5.0;6.0;5.0;3.0;5.0;2.0;2.0;6.0;2.0;5.0;6.0;5.0;6.0;6.0;4.0;1.0;2.0;5.0;2.0;2.0;4.0;4.0;2.0;3.0;5.0;6.0;2.0;5.0;5.0;5.0;5.0;2.0;6.0;5.0;5.0;4.0;6.0
2;1;10028;Fisica;1;DF;CO;23;M;2013.0;2014.0;4.0;47.1;49.6;50.0;49.0;45.0;65.0;40.0;53.0;65.0;50.0;46.3;50.0;25.0;20.0;15.0;40.0;C;C;C;B;B;C;E;D;D;A;A;A;A;D;B;B;B;E;A;A;A;B;A;D;53.0;A;A;A;G;A;C;C;A;E;A;5.0;5.0;5.0;5.0;5.0;6.0;6.0;5.0;6.0;5.0;6.0;6.0;5.0;4.0;3.0;6.0;5.0;6.0;5.0;5.0;5.0;5.0;4.0;5.0;5.0;1.0;1.0;1.0;4.0;5.0;4.0;2.0;3.0;4.0;2.0;3.0;3.0;5.0;3.0;3.0;3.0;1.0
2;1;10028;Fisica;1;DF;CO;25;F;2009.0;2014.0;4.0;42.5;45.0;75.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;41.7;45.0;23.3;0.0;60.0;10.0;C;C;A;C;C;D;D;D;E;A;A;A;D;E;D;A;B;C;A;A;A;B;A;A;53.0;A;A;D;C;A;C;E;E;E;F;4.0;5.0;6.0;5.0;6.0;5.0;6.0;6.0;6.0;6.0;4.0;2.0;3.0;7.0;7.0;6.0;6.0;6.0;5.0;6.0;5.0;4.0;4.0;6.0;8.0;7.0;7.0;5.0;5.0;5.0;4.0;5.0;7.0;5.0;5.0;4.0;5.0;5.0;7.0;5.0;6.0;6.0
